Star Rating,Review Title,Review Description
5.0 out of 5 stars,Genuine and Fast,"My first iPhone and I couldn’t ask for a better battery life, performance, camera and UI.I have purchased during Republic Day sale and was little anxious about the genuineness’s of the product but the seller lived up to the expectations.Read more"
5.0 out of 5 stars,The beautifull baby,"Thanks amazon for making this unit available for a fraction of minutes. I have managed to order from here even when the iphones were out of stock in most of the platforms. This phone is one hell of a beast. I have upgraded from my s21 ultra and i think i will stick to this device for many years. The photos just comes out right. The heavy weight may be liked some and not by the other. I personally prefer the heavier ones. Screen quality and colour is top-notch. Apple must have put much rnd with the 17 version to make the best iphone till date. The battery is remarkable and the phone seems really optimised to manage the battery life. The price seems to be on the higher side. But that is the trade. And for people wondering if the scratch gate is real. Im not sure, all other phones in the market get scratches so this one might do aswell. Titanium body would have given me more confidence but yes do put on a case that has micro fibre lining inside. Avoid hard cases or the silicone ones.Read more"
1.0 out of 5 stars,Brand New iPhone 17 Pro Max With Visible Dead Pixel – Replacement Denied Despite Proof,"The media could not be loaded.I purchased a brand new iPhone 17 Pro Max from Amazon, and within days of delivery the device started showing a visible red/dead pixel issue with intermittent flickering. The defect is clearly visible to the naked eye and appears across multiple screens and colors.I immediately followed the correct process and visited an Apple Authorized Service Center. The issue was officially recorded in their service report and even captured on video. However, after keeping the phone for two days, the service center verbally denied the issue and refused to issue a defective certificate, which Amazon requires for replacement.Because of this, I am now running out of my replacement window, despite the product being defective from the beginning. I had to take leave from work, visit the service center multiple times, and still ended up helpless.This is a premium flagship device, and such a defect on a brand new phone is unacceptable. Even more disappointing is how difficult it has been to get a fair replacement after following all official steps.I expected much better quality checks and post-sale support for a product of this price.Buyers beware: Please check your device very carefully immediately after delivery and be prepared for a long struggle if you receive a defective unit.Read more"
5.0 out of 5 stars,Good design,NiceRead more
5.0 out of 5 stars,Nice,NiceRead more
4.0 out of 5 stars,"Great phone, long term android user, not so satisfied with iOS","I am a long-term android user shifted to iPhone. The performance is great. The camera is absolutely good, even in low light condition. I just have Complaints with iOS. Many features available in Android are absent, and some gestures are counter-intuitive. There is no back button, I have faced apps freezing sometimes, to view notifications you have pull all the way down to the bottom of the screen and clearing a notification also has an extra step. Overall great phone, not so happy with iOS.Read more"
5.0 out of 5 stars,IQOO phone,"It's a good phone, nice colour and battery lasts long, etc. Nice phone!Read more"
4.0 out of 5 stars,Good mobile as per the budget.,Product is fine as per it's price. It is easy to use. Beside some minor issues it's worth buying under this range. Battery back up and look are absolutely good. If camera is your priority then look for different options.Read more
5.0 out of 5 stars,Great product....worth of money,Great phone....very handyRead more
5.0 out of 5 stars,Excellent mobile phone iqoo,Wonderful performance mobileRead more
4.0 out of 5 stars,Good for the money,So far good. The camera quality is medium. Otherwise good for the price. Have not had the chance to check the battery life. Weight is good not too heavy.Read more
5.0 out of 5 stars,Nice mobile,Very nice mobileRead more
3.0 out of 5 stars,Charging is very slowly,Camera is not good and charging also very slow very slowRead more
4.0 out of 5 stars,Slow mobile,Good product but works very slow use it only as a 2nd phoneRead more
5.0 out of 5 stars,Amazing Mid Ranger and new performer,"New M56 reviewing after my inital usage of few days.Pros* Light Weight : really makes sense and you can feel the difference especially if you have used phone like 200 or 220 grams* Amazing Display and its bright too* Decent Speed, Multi Tasking is good too* Supports 45 W Fast Charge* Samsung UI is amazing on this one too, its refined, especially the default -  animationsCons* Camera is not upto the mark* Limited Colour optionsRead more"
4.0 out of 5 stars,Samsung galaxy M56,"I good phone ,worth the price. No glitches or hang ups. Smooth and sturdy. Battery life is quite reasonably good. Camera is pretty clear and updated. All in all a good mid segment mobile. 4.5/5Read more"
5.0 out of 5 stars,Inexpensive and ideal,Battery performance is good.  Sturdy and strong look due to corning gorilla glass at both sides.  Metal body is plus point.Read more
5.0 out of 5 stars,Best midrange samsung phone,"At price 22k, BEST DISPLAY, SMOOTH UI, out of box one ui 8 with android 16. Good camera , best samsung midrange smartphone. #no heating issueRead more"
5.0 out of 5 stars,Good phone with great features!!!,Sleek and stylish design with good performance!! Every colleagues asking me which model is this?? Software in Samsung is always great. UI feels smooth.. I'm not a gamer so battery lasts for a full day. I mainly got this for 7 os gen updates. In description it's mentioned as Android 15 but For my surprise I got Android 16 out of the box which is great!!! Glass back so get a case for safety. I bought niukin ripple wave soft back cover. It's great l. Aesthetic and classy case.Read more
4.0 out of 5 stars,Simply this Samsung phone is Very 👌 Awesome.,"This phone is really excellent. The camera is outstanding — I compared it side by side with other phones around the ₹30,000 range, but this one clearly has a much better camera. The pictures are very clear with great quality, and the OIS works really well. It is visibly better than other brands.The display is also excellent. The colors are very vibrant and the screen is extremely smooth. Using the phone feels very enjoyable and smooth.The battery performance is also very good. One full charge easily lasts a full day even with heavy usage.Apps open very fast and the phone feels very smooth overall. Games like BGMI also run smoothly; I have played it without any issues.One small drawback is that it has a single speaker. However, it is not bad at all — the speaker is loud and the sound quality is good. Still, if it had stereo speakers, it would have been even better.I am giving this phone 4 stars only because of the single speaker.Overall phone is very good and Balanced around 25,000.Read more"
5.0 out of 5 stars,Nice phone for daily use.,"Using this phone since 15 days.. so far so good for daily use. Phone is handy, light weight, good front n back camera. Screen brightness and auto adjust is works well.Read more"
4.0 out of 5 stars,GALAXY IS NOT BAD,"Battery ,Processor, and dual speaker is the only compromise.One UI , 6 x 6 updates, light weight, slim ,premium look,display quality, galaxy eco system,voice focus,camera quality,Non Chinese brand with international brand value .This are the sacrifice for the compromisesRead more"
5.0 out of 5 stars,Product is good as a brand name. Future is uncertain,"As usual Samsung never compromise it's own brand value and customer satisfaction. After two months of purchasing, there are no any problem. Product is As valuable as spend money. So Thanks to Samsung, Thanks amazon to sponsor such a great Product under limited worth. But future is uncertain if any problem raise in course of time, my review may be vary.Read more"
4.0 out of 5 stars,M06 review,"The Phone is nice. I have been using it from last 6 months.Good build quality.Good at this price rangeSupports super fast charging and battery health is also good.Bigger screen size.Good sound.It lags when gets heated , the processor cannot handle that much load.Overall runs smooth for low to moderate use.Read more"
5.0 out of 5 stars,Excellent fantastic and superb,I highly recommend to other costumer to purchase this mobile. I also say this is really wonderful item in very less budget and all features are very fantastic.Read more
1.0 out of 5 stars,Stay away from Samsung,"I ordered this cellphone about a month back and had a horrible experience to say the least. I had tremendous trust and confidence on Samsung products as they were extremely durable and of good quality. However, all this shattered with this cellphone purchase. Just after five days or so, the screen/display started malfunctioning. When I paid a visit to the service centre they simply updated the software and sent me back saying it will work. The very next day the cellphone's display again started giving me problems. I again went to the service centre and to my shock - they were not ready to acknowledge the hardware fault. After a lot of struggle with the service centre guys they changed the display. It's been a 5-6 days since and I can say with surety that the device is of low hardware quality. The speaker sound, display, infact everything feels like it's of low quality. I amazed at the kind of experience I have had with Samsung this time. I really wouldn't recommend anyone to buy this product. Guys the service centre guys were behaving as if they didn't care a damn. I have come down to a conclusion that it's not just the hardware but the service of Samsung has declined over the years to a point that they were behaving like a tin pot company. Extremely disappointed, sad but it's 100 % TRUE ! I would definitely stay away from buying Samsung products in future - a company on which I had tremendous trust and confidence ! I am already acknowledging this as money down the drain !! Even if Samsung would have exchanged the device for a new one, I still don't think it would have worked really well  ! But this is something that they should have done - to say the least !Read more"
5.0 out of 5 stars,Awesome,"it's a fantastic product that exceeded my expectations! I'm really satisfied with its impressive features, smooth performance, and reliable battery life for the price. Highly recommended for anyone on a tight budget in the 10k-12k range—great value without compromises!Read more"
5.0 out of 5 stars,Good product but camera is very poor,"The product is very good. But if you are looking for a phone that takes very good pictures, then do not buy it. The camera is very poor. Overall performance is good; it's not for gaming purposes. Good for normal calls, WhatsApp messages, banking applications, food applications, and all basic applications can run smoothly. The battery is very effective.Do not expect something very exceptional from it.Read more"
4.0 out of 5 stars,Only Mobile In the Box (No Cover No Charger),"Overall mobile is good but atleast they should give Cover of Mobile, Charger also. Cable has been given but it is Type C to Type C, I don't know what is the use of this Cable. Mobile is decent at this price range.Read more"
3.0 out of 5 stars,Cut-down version of a  5G phone.,"I am reviewing this phone after a few days of usage.This is a compromised or cut-down version of the normal 5G phones and hence it's available for less than 10K INR.The built-in hardware test is removed.  Dialling *#0*# does nothing.It has a very basic raw uncalibrated Gyroscope.Camera is okay. Despite 128GB ROM, 6GB RAM & 2 GHz processor the phone is surprisingly slow.If the signal quality is around 3 bars (may be because you are indoors or so) the signal falls back to 4G & mobile Internet practically does not work. See the speed test screenshot. The test fails to connect as there's no Internet even though mobile data is on at 4G connection. I tried every suggestion given by AI even including replacing the SIM to a new one but nothing helps.  This device has a weaker antenna or reception from technical point of view.Sadly the speaker sound is not that great. It's again poor. If you are in next room watching TV and phone rings in another room, you might miss a call because the speaker loudness is poor even at full volume.When you take a photo, the phone makes a Click sound. There's no direct setting to turn it off but there's a trick (available on Youtube videos ) that works and you can mute the Click sound.Battery life is average. Charging time is okay with a standard normal charger.Only one good thing about it is that as of now there's no beep or call recording announcement when you record a call. This might change in future though.Overall I am disappointed. Earlier I had Redmi 7A that did not have enough space and was overall slow in all aspects, so I bought this one but overall I am not at all impressed. I just feel I still have the same old experience with just added space, nothing more!!Read more"
5.0 out of 5 stars,"Great Deal, Smooth Delivery & Premium Experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,"Solid Phone, Solid Performance and premium experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent as always.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,Premium and class as always.,Very Premium feel. I do understand that apple left titanium body of 16 pro but yes it is an upgrade and if one has 16 pro then may be he should not go for this one but hugely recommend for anyone having 14pro or lower. Feels premium in hand and design is different and may not be to everyone's taste. Blue colour is awesome as I had liked darker colours from Apple. Camera is excellent. I do not want to comment about battery as I do not use this phone for gaming. Amazon also did a good job with respect to delivery and providing offers in Republic Day sale 😀😀.About durability I can only say that my wife is using 13 pro and it still is smooth and no major issues except battery which obviously Apple degrades over years so that you buy a new one.I was hoping to bag a 16 pro but in sale the difference was not huge so went with this one. 👍👍Read more
4.0 out of 5 stars,Performance,First time i have shifted from Android to IOS (iphone). After the usage of 1 month i am writing these lines regarding my iphone experience.It is very nice and classy and an outstanding look in hands .Feel something different on its use.Camera is goodDesign is charming.Battery lasts for a day after heavy use.Really hands feel different touch.I like its design and its performance.Read more
5.0 out of 5 stars,Delivery and item performance is superfine,Perfect to spection our orderRead more
1.0 out of 5 stars,Very Bad experience,"It's very Bad experienceThe product was not working properly and when I was in call with in 2mits tthe mobile getting heat, and few of apps are not working properlyRead more"
5.0 out of 5 stars,iPhone 17 pro,"Awesome quality, good battery backup and lovely pictures. A way too improved. Worth the price.Read more"
5.0 out of 5 stars,very good,i got 5000 rupees discount from amazon thank you amazonRead more
5.0 out of 5 stars,iPhone,Good product and product delivery also proffesionalRead more
5.0 out of 5 stars,Smooth AF,"UI so smooth, as a dove floats on a moonlit tranquil pond...Cameras so sharp, as a Ronin handles his sword...Speakers so thunderous, even the heavens rumble when one booms a chorus.Read more"
5.0 out of 5 stars,Genuine and Fast,"My first iPhone and I couldn’t ask for a better battery life, performance, camera and UI.I have purchased during Republic Day sale and was little anxious about the genuineness’s of the product but the seller lived up to the expectations.Read more"
5.0 out of 5 stars,The beautifull baby,"Thanks amazon for making this unit available for a fraction of minutes. I have managed to order from here even when the iphones were out of stock in most of the platforms. This phone is one hell of a beast. I have upgraded from my s21 ultra and i think i will stick to this device for many years. The photos just comes out right. The heavy weight may be liked some and not by the other. I personally prefer the heavier ones. Screen quality and colour is top-notch. Apple must have put much rnd with the 17 version to make the best iphone till date. The battery is remarkable and the phone seems really optimised to manage the battery life. The price seems to be on the higher side. But that is the trade. And for people wondering if the scratch gate is real. Im not sure, all other phones in the market get scratches so this one might do aswell. Titanium body would have given me more confidence but yes do put on a case that has micro fibre lining inside. Avoid hard cases or the silicone ones.Read more"
1.0 out of 5 stars,Brand New iPhone 17 Pro Max With Visible Dead Pixel – Replacement Denied Despite Proof,"The media could not be loaded.I purchased a brand new iPhone 17 Pro Max from Amazon, and within days of delivery the device started showing a visible red/dead pixel issue with intermittent flickering. The defect is clearly visible to the naked eye and appears across multiple screens and colors.I immediately followed the correct process and visited an Apple Authorized Service Center. The issue was officially recorded in their service report and even captured on video. However, after keeping the phone for two days, the service center verbally denied the issue and refused to issue a defective certificate, which Amazon requires for replacement.Because of this, I am now running out of my replacement window, despite the product being defective from the beginning. I had to take leave from work, visit the service center multiple times, and still ended up helpless.This is a premium flagship device, and such a defect on a brand new phone is unacceptable. Even more disappointing is how difficult it has been to get a fair replacement after following all official steps.I expected much better quality checks and post-sale support for a product of this price.Buyers beware: Please check your device very carefully immediately after delivery and be prepared for a long struggle if you receive a defective unit.Read more"
5.0 out of 5 stars,Good design,NiceRead more
5.0 out of 5 stars,Nice,NiceRead more
4.0 out of 5 stars,"Great phone, long term android user, not so satisfied with iOS","I am a long-term android user shifted to iPhone. The performance is great. The camera is absolutely good, even in low light condition. I just have Complaints with iOS. Many features available in Android are absent, and some gestures are counter-intuitive. There is no back button, I have faced apps freezing sometimes, to view notifications you have pull all the way down to the bottom of the screen and clearing a notification also has an extra step. Overall great phone, not so happy with iOS.Read more"
5.0 out of 5 stars,Must Read! Highly Recommended,"Amazing performance, display is good, battery is superb, overall satisfied. I really don't care about the cameras but still it's good enough for daily usage. I have a secondary iphone 16 pro for camera. But since this is my primary phone for all other stuff and work I needed the best performance to battery ratio phone which this one delivered it perfectly well. Looks & Feel is premium too. I chose this overall iQOO 15r & Poco X8 Pro Max due the OS stability (ads free & feature loaded) and overall brand reliability. I have used Realme, Xiaomi, Moto & Samsung. But by fast the longevity & reliability wise I prefer oneplus -> Samsung -> Realme -> Xiaomi -> Moto -> iQOOReason being if anytime I need to replace screen or anything then fixing 1+, realme & Samsung have the best availability and repairability. So after sales is very important which brand like Samsung, Oneplus & Realme comes to top place.Also, regarding the price to value is it completely worth purchasing it because amid Ram price increase & war tensions going all over the world, it is highly likely phone prices are going to even much higher. So! Worth value for money purchaseRead more"
5.0 out of 5 stars,Product quality,The media could not be loaded.This has the Best battery backup as well as video image and functionality of the phone is very goodRead more
4.0 out of 5 stars,A really good phone which tries to meet everyone's expectations and in budget.,"Got this beauty on Dec 23. Upgraded from iqoo3( yes, the first iqoo phone in India) after almost 5 years. Must say the previous one really held its ground.Coming back to 15r, this is pretty good upgrade as I am not very frequent camera user and gaming was my major priority. This phone really delivers on that front. Performance is smooth and you can get 110-115 avg fps in bgmi. Battery at 7400 mah is a really good, no complaints there. Camera is pretty good as well for the price. It has the same primary camera as the oneplus 15. Gives amazing results in daylight. If you know a little about photography then you can make a good use of this camera as well. UI is smooth and haptics are a little weak but not a deal breaker. Overall this phone is bang for the buck. I did consider waiting for the new iqoo neo 11 but the UI has lots of ads and I wanted a little cleaner experience. Go for it, as new phones are going to get pricey anyway.Read more"
5.0 out of 5 stars,Happy to Purchase one more Oneplus,"It is nice. I gifted the phone to my wife. Earlier she was using the same brand of handset. She wanted to upgrade in the same brand because of it’s camera quality, it’s speed and use of handset is outstanding. Heating is quite normal in phones. When it’s getting charge. Connectivity in terms of great earlier it was 4 g handset now it’s 5 g so i can feel the difference.Read more"
5.0 out of 5 stars,Good smartphone,This phone is really good. Pretty fast and meets my expectations. I was an iphone user and transitioning to android now. The performance of the phone is excellent so far.Read more
5.0 out of 5 stars,"Amazing battery and performance, okay camera.","This is a great phone overall, the battery is the best I've ever had in a smartphone. I fully charge it in the morning and when I return home in the evening at 7 pm, the battery is still around 80%! I routinely end the day at around 65% battery, it can last 2 full dyas on normal usage. The charging is also super fast, it goes from 0 to 65 in under 30 minutes, and the fast charger is included in the box.The screen is fantastic, 120 Hz display and bright colours. The performance is also top notch, the phone feels very snappy and quick, I don't bother closing apps because the phone can hold as many apps as I want without slowing down. The only thing that's not the best in class, is the camera. The main camera is still very good, 50 megapizels and takes great photos, which are processed with AI to enhance their features. The ultrawide is not that good, and the front camera is average for the price. It's not a bad camera setup at all, still very good, but certainly below what you expect from a 50k phone.In summary, performace, battery and screen are amazing, camera is good but not great. If you want a reliable and fast phone that has a monster battery and super fast charging, go for this one.Read more"
5.0 out of 5 stars,"Smooth Performance, Great battery, Good Camera (with one miss)","I’ve been using the OnePlus 15R for some time now, and it’s a really solid all-rounder with strong performance and reliable battery life.👍 What I liked:Fast & smooth performance: Handles everything easily — multitasking, gaming, daily use, all super fluid.No heating issues: Even during longer gaming sessions, the phone stays stable without noticeable heating.Great display: The AMOLED screen is bright, smooth, and perfect for content and gaming.Good main camera: The primary lens performs really well and captures sharp, detailed photos. It’s actually the same main sensor as the OnePlus 15, which is impressive at this price.Strong battery life: Easily lasts a full day with heavy usage.Clean software: OxygenOS is smooth and user-friendly.👎 What could be better:No telephoto lens: This is the biggest downside. While the main camera is great, the lack of a dedicated telephoto camera is disappointing for zoom shots.No wireless charging: Would have made it more complete.🤔 Final verdict:The OnePlus 15R is a powerful and reliable smartphone with great performance, solid battery life, and a surprisingly good main camera. The only real drawback is the missing telephoto lens.👉 Best for: Performance users, gamers, and casual photography👉 Not ideal for: People who want advanced zoom photographyEven though I used Chatgpt to write this review but written information is given by me with personal experience 😁Read more"
5.0 out of 5 stars,The most underrated among iPhones,"One of the best phones out there.I read a ton of reviews and watched two tons of videos of people’s experience with this phone before pulling the trigger on this purchase.My honest opinion - this phone is an iPhone. Signature battery life (does not suck), signature camera, fluid screen.. and, a great speaker. No, I do not feel the speaker is a problem. It’s perfectly fine for 99.999999% of people out there. If you’re one of the 0.000001%, know that it is still an extremely usable speaker that you shouldn’t feel you’re stuck with.The perk is the slimness to go with all that. The novelty of a slim phone does wear off in a few days, but what you’re left with is a great day to day experience of using it.Stop thinking about battery life, scratches, speaker quality and all that jazz. None of them are a problem.Read more"
5.0 out of 5 stars,Nice,NiceRead more
5.0 out of 5 stars,Iphone Air,Nice productRead more
5.0 out of 5 stars,Don’t think twice,Best buy.Read more
5.0 out of 5 stars,Must buy this for slim and sleeker,Battery backup is very bad otherwise other performance is so betterRead more
1.0 out of 5 stars,Not good,Sound is too less feels and there is no sound coming from the bottom speakers like a google pixel and androidRead more
5.0 out of 5 stars,bad product don't bye,worst product don't bye this guys very very bad all sounds or bad color bad it have some malicious virus alsoRead more
3.0 out of 5 stars,Not a good choice,not good battery but slim and unique durable will not say value for money but good for those who wants thin calling phone impracticleRead more
5.0 out of 5 stars,warranty activation issue very tough job,"Well the Phone is Very Good But the invoice and Warranty Slip Does not mention IMEI or Sr No. due to which My Apple + Protect cannot be activated and i am contacting customer car 6th Feb and they assure me that within a week you will get but you need to upload photo of mobile details like IMEI, Photo of Mobile Box showing details, Invoice Copy, Warranty Slip Copy, etc. till today 13 Mar 2026 my problem not solved by, every time i call after a week they tell the image were blurry so u need to upload it again, it very annoying that there is no email conversation, all is telephonic and have to upload only jpg format no pdf on their link, very disappointed by amazon and the sellerRead more"
5.0 out of 5 stars,Best iPhone,The media could not be loaded.Fabulous product by AppleRead more
2.0 out of 5 stars,Not preferred,Battery life is not working also would quality is not goodRead more
1.0 out of 5 stars,iPhone Air,Worse product go for IPhone 17 instead even iPhone 16E has better battery than this 1lakh crap! Battery is worseOnly good thing about this phone is design and it can be used for display.Read more
5.0 out of 5 stars,Good,5Read more
5.0 out of 5 stars,It's great budget phone,It's good phone for sure decent processor everything feels pretty fine and camera also great too for this price. Display is nice. Excellent phone for this price.Read more
4.0 out of 5 stars,Overall cheap and good phone.,Camera-goodBattery-superNice design sound also good no heating issue Smooth lag free.Read more
5.0 out of 5 stars,Value for the money.,Good. Good battery back upRead more
5.0 out of 5 stars,Amazing,"Amazing work, quality is also good,metal body looks so good, storage and battery backup amazing 😀Read more"
4.0 out of 5 stars,Good,Good budget mobile.Read more
5.0 out of 5 stars,Decent Quality,"Nice look, decent camera qualityRead more"
3.0 out of 5 stars,Good for this amount,It is a good phone. Sometimes it hangs.Read more
4.0 out of 5 stars,Good product with 6gb 128 gb,Everything fine except 5g service in this price.Read more
5.0 out of 5 stars,Absolutely Good,No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this priceRead more
4.0 out of 5 stars,Best deal at 8000 segment,"According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphoneRead more"
5.0 out of 5 stars,Good entry level phone,This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.Read more
5.0 out of 5 stars,A quality phone with decent specs.,"This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.Read more"
4.0 out of 5 stars,Good budget phone with strong battery,"The media could not be loaded.This phone is very good for the price. The battery backup is excellent and easily lasts a full day with normal use. The display is clear and big, good for watching videos and using social media. Sound quality is decent and call clarity is good.Performance is smooth for basic tasks like WhatsApp, YouTube, browsing and light gaming, but it may lag sometimes with heavy apps or multitasking. Camera quality is average, okay for casual photos in good light.Read more"
5.0 out of 5 stars,Awesome,"I bought the Samsung Galaxy M07 and it’s a great budget-friendly phone.The display is big and smooth, good for watching videos and sound quality quite good. Also good colour.Battery life is strong and easily lasts a full day.Performance is decent for daily use like calls, apps, and browsing.Overall, a good value-for-money smartphone 👍Read more"
3.0 out of 5 stars,Ok,It's ok for the price but it would be great if it has 5gRead more
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ✅ Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ❌ Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### 📌 ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.Read more"
5.0 out of 5 stars,Worth,"Satisfied. Till no issues. Phone speed, camara quality, Touch, refresh rate everything OK.Read more"
4.0 out of 5 stars,Bad software experience,The phone is actually nice but in the software side facing lot of problems like bugs. Performance wise which is good one in this price range ( under 10k ).Read more
5.0 out of 5 stars,Good Budget 5G Phone with Big Display and Long Battery Life,"Good budget smartphone with a large display and smooth performance for daily use. The battery backup is very good and easily lasts a full day. The 50MP camera is decent for normal photos, and the phone feels stylish and lightweight. Overall, a good option for basic use and 5G connectivity at this price.Read more"
4.0 out of 5 stars,Satisfied with the product,This product is very nice and value for moneRead more
3.0 out of 5 stars,phone isnt working smoothly,"id have expected the phone to work better but infact its responding slowly and id say lagging the camera is average and it was not easy when transfering data from other phone, the sensor isnt responding that quick either but the colour is good and its slim and light weight i guess worth it for 11kRead more"
5.0 out of 5 stars,Great Value for Money – Highly Recommended,"⭐⭐⭐⭐⭐ Great Value for Money – Redmi A4I recently purchased the Redmi A4 from Amazon and I’m very satisfied with the performance. In fact, I have purchased this phone three times in the last 2 months, which clearly shows how reliable and useful it is.The design looks good, the display is clear, and performance is smooth for daily tasks like calling, WhatsApp, YouTube, and browsing. The battery backup easily lasts a full day with normal use. Camera quality is also good for this price range.Delivery was on time and packaging was proper. Overall, it’s an excellent budget smartphone and definitely worth buying.Highly recommended 👍Read more"
