Star Rating,Review Title,Review Description
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ✅ Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ❌ Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### 📌 ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.Read more"
5.0 out of 5 stars,Awesome,"it's a fantastic product that exceeded my expectations! I'm really satisfied with its impressive features, smooth performance, and reliable battery life for the price. Highly recommended for anyone on a tight budget in the 10k-12k range—great value without compromises!Read more"
4.0 out of 5 stars,M06 review,"The Phone is nice. I have been using it from last 6 months.Good build quality.Good at this price rangeSupports super fast charging and battery health is also good.Bigger screen size.Good sound.It lags when gets heated , the processor cannot handle that much load.Overall runs smooth for low to moderate use.Read more"
5.0 out of 5 stars,Excellent fantastic and superb,I highly recommend to other costumer to purchase this mobile. I also say this is really wonderful item in very less budget and all features are very fantastic.Read more
5.0 out of 5 stars,Good product but camera is very poor,"The product is very good. But if you are looking for a phone that takes very good pictures, then do not buy it. The camera is very poor. Overall performance is good; it's not for gaming purposes. Good for normal calls, WhatsApp messages, banking applications, food applications, and all basic applications can run smoothly. The battery is very effective.Do not expect something very exceptional from it.Read more"
1.0 out of 5 stars,Stay away from Samsung,"I ordered this cellphone about a month back and had a horrible experience to say the least. I had tremendous trust and confidence on Samsung products as they were extremely durable and of good quality. However, all this shattered with this cellphone purchase. Just after five days or so, the screen/display started malfunctioning. When I paid a visit to the service centre they simply updated the software and sent me back saying it will work. The very next day the cellphone's display again started giving me problems. I again went to the service centre and to my shock - they were not ready to acknowledge the hardware fault. After a lot of struggle with the service centre guys they changed the display. It's been a 5-6 days since and I can say with surety that the device is of low hardware quality. The speaker sound, display, infact everything feels like it's of low quality. I amazed at the kind of experience I have had with Samsung this time. I really wouldn't recommend anyone to buy this product. Guys the service centre guys were behaving as if they didn't care a damn. I have come down to a conclusion that it's not just the hardware but the service of Samsung has declined over the years to a point that they were behaving like a tin pot company. Extremely disappointed, sad but it's 100 % TRUE ! I would definitely stay away from buying Samsung products in future - a company on which I had tremendous trust and confidence ! I am already acknowledging this as money down the drain !! Even if Samsung would have exchanged the device for a new one, I still don't think it would have worked really well  ! But this is something that they should have done - to say the least !Read more"
5.0 out of 5 stars,durable and good quality,Good product in low budgetRead more
4.0 out of 5 stars,Value For Money,"Value for Money product for the budget buyers. safe & secure if you are using nicely. no blotware no useless apps etc.feels good and works nicely if not used roughly.- looks good and premium at this costcons- phone hangs /  lags if memory is 60% full.-  no dedicated slot- biggest cons - no case, no charger, no head phone which is must for budget buyers. hence i have given 4 ratings- camera - decent. no macro or wide angle available.Read more"
3.0 out of 5 stars,Cut-down version of a  5G phone.,"I am reviewing this phone after a few days of usage.This is a compromised or cut-down version of the normal 5G phones and hence it's available for less than 10K INR.The built-in hardware test is removed.  Dialling *#0*# does nothing.It has a very basic raw uncalibrated Gyroscope.Camera is okay. Despite 128GB ROM, 6GB RAM & 2 GHz processor the phone is surprisingly slow.If the signal quality is around 3 bars (may be because you are indoors or so) the signal falls back to 4G & mobile Internet practically does not work. See the speed test screenshot. The test fails to connect as there's no Internet even though mobile data is on at 4G connection. I tried every suggestion given by AI even including replacing the SIM to a new one but nothing helps.  This device has a weaker antenna or reception from technical point of view.Sadly the speaker sound is not that great. It's again poor. If you are in next room watching TV and phone rings in another room, you might miss a call because the speaker loudness is poor even at full volume.When you take a photo, the phone makes a Click sound. There's no direct setting to turn it off but there's a trick (available on Youtube videos ) that works and you can mute the Click sound.Battery life is average. Charging time is okay with a standard normal charger.Only one good thing about it is that as of now there's no beep or call recording announcement when you record a call. This might change in future though.Overall I am disappointed. Earlier I had Redmi 7A that did not have enough space and was overall slow in all aspects, so I bought this one but overall I am not at all impressed. I just feel I still have the same old experience with just added space, nothing more!!Read more"
5.0 out of 5 stars,Battery good,"After 2days of full use... Battery 5/5, camera both 8/10, display 5/5,sound and voice mic10/10 , 5g network 10/10 overall best product thank you amazon and sumsung indiaRead more"
3.0 out of 5 stars,LAG Under multitasking,"I bought the 4GB RAM version, and unfortunately, it struggles with multitasking. If I try to run two apps simultaneously, there is a noticeable lag. The camera performance is also quite disappointing—I’d rate it a 1 out of 5. On the bright side, the battery backup is solid and lasts a long time. It's a decent basic phone, but not for power users.Read more"
1.0 out of 5 stars,Lagging and heat up in one min,Most nonsense phone of iphoneRead more
5.0 out of 5 stars,Insanely good for the price,"Insanely good for the price!An all rounder phone with a great display, durability and reliable performance.Battery life is best in class thanks to Samsung's software optimizationRead more"
5.0 out of 5 stars,Very Good Phone,"Very Nice Phone, as I expected, I am using 2 phones now of IQOO Z10X AND Z11X, And I am fully Satisfied with this company of Vivo.Read more"
5.0 out of 5 stars,"Very nice phone!  ,but need to know how it wil perform after hard-core usage","Very nice phone!  ,but need to know how it wil perform after hard-core usageRead more"
5.0 out of 5 stars,Good Phone for long battery usage,Good phoneGood battery lifeDecent cameraVery happy with split screen and new origin OS availability in lower price segmentRead more
5.0 out of 5 stars,Good phone for studying longer,"Bought this phone for my brother .Nice phone , suitable for long hour studyin and usage..Quite a big batteryGood phone for playing freefire ..it doesn't lagLooks wise it's okWill share further review , once I have used this fot sufficent timeRead more"
5.0 out of 5 stars,Nice mobile,Good product 💯Read more
5.0 out of 5 stars,Best Smartphone under 20k in 2026,Wonderful productsRead more
5.0 out of 5 stars,Performance and battery beast,"The experience with this smartphone has been really fantastic. I bought this smartphone for performance and battery and this provides me things beyond my expectation.The Battery last for more than 2 days, while the performance is top notch. Camera in the smartphone is also great. The display quality never felt low which was concerning at the startingOverall top notch performance, top notch battery and a great camera system really make the smartphone value for its price.Read more"
5.0 out of 5 stars,Smooth phone with good battery,I have been playing Freefire on this device. The phone is pretty smooth and the battery lasts for more than 2 days.Read more
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery",Its sleek and great phoneRead more
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.Read more"
5.0 out of 5 stars,Great device at this range,Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.Read more
5.0 out of 5 stars,What a phone,Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22kRead more
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.Read more
4.0 out of 5 stars,Amazing product,"Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.Read more"
5.0 out of 5 stars,Smooth gaming . overall it's perfect at this price range,Really amazing phone 🤩Read more
4.0 out of 5 stars,Good,The product is good loved it value for moneyRead more
5.0 out of 5 stars,Great device - value for money,Great value for money deviceIt comes across as a great secondary deviceHappy with looks..looks like a premium deviceRead more
4.0 out of 5 stars,Performance,"I don't face any kind of issue in the device good battery, not heating problem , durable , camera is ok ok , overall a good device , smooth, good performance and best in budget.Read more"
5.0 out of 5 stars,IQOO phone,"It's a good phone, nice colour and battery lasts long, etc. Nice phone!Read more"
5.0 out of 5 stars,Great product....worth of money,Great phone....very handyRead more
3.0 out of 5 stars,"Great Performance and Battery, But Very Poor Camera.","The phone’s performance is good and the battery backup is also great, but the camera quality is very poor. If you want good photo quality, then buying this phone is not worth it.Read more"
4.0 out of 5 stars,Slow mobile,Good product but works very slow use it only as a 2nd phoneRead more
5.0 out of 5 stars,Value for money,"Working goodDaily usage pretty goodDisplay size and quality is goodBattery life is awesomeRecommended to students, family membersRead more"
4.0 out of 5 stars,Look wise phone is very good 👍😊,Quality is so good but camara is good according to paise smooth touch no heating  good all thanks for amazon and iq z10 liteRead more
5.0 out of 5 stars,Monsterously Amazing Galaxy !,"Bought it after almost 5 months of intense research and won't regret my decision now. Writing this after using the device for 7 days.Display is magnificent.Performance is A+Battery is coming up good so far, with almost 55-58 hrs backup in single charge. Bought original Samsung 45W adapter.Camera quality is amazing. Crisp photos and better quality. Use is as feather with 120 Hz screen refresh rate. Premium feel with very light weight. Haven't used any games but only Candy Crush that too in leisure time, that too smooth experience.Overall this monster is best in segment in all areas. 4nm built Exynos 1480 is doing a great job in there along with Xclypse GPU. It's X factor is 2.75 GHz processor, sAMOLED display, and Bixby which makes this monster huge one within 25k budget.Read more"
4.0 out of 5 stars,GALAXY IS NOT BAD,"Battery ,Processor, and dual speaker is the only compromise.One UI , 6 x 6 updates, light weight, slim ,premium look,display quality, galaxy eco system,voice focus,camera quality,Non Chinese brand with international brand value .This are the sacrifice for the compromisesRead more"
5.0 out of 5 stars,Good phone with great features!!!,Sleek and stylish design with good performance!! Every colleagues asking me which model is this?? Software in Samsung is always great. UI feels smooth.. I'm not a gamer so battery lasts for a full day. I mainly got this for 7 os gen updates. In description it's mentioned as Android 15 but For my surprise I got Android 16 out of the box which is great!!! Glass back so get a case for safety. I bought niukin ripple wave soft back cover. It's great l. Aesthetic and classy case.Read more
5.0 out of 5 stars,Amazing product,"Best in segment Phone. The build quality, camera, User interface everything is top notch at the price.This smartphone gives full value of every penny you spend.Read more"
5.0 out of 5 stars,Amazing product,"Really good phone. I like it. Display is very good. Camera quality, smoothness, sound Quality. Everything is good. Samsung just need to give much more charging power in lower end devices. 24 and 45 watt are too lessRead more"
4.0 out of 5 stars,Simply this Samsung phone is Very 👌 Awesome.,"This phone is really excellent. The camera is outstanding — I compared it side by side with other phones around the ₹30,000 range, but this one clearly has a much better camera. The pictures are very clear with great quality, and the OIS works really well. It is visibly better than other brands.The display is also excellent. The colors are very vibrant and the screen is extremely smooth. Using the phone feels very enjoyable and smooth.The battery performance is also very good. One full charge easily lasts a full day even with heavy usage.Apps open very fast and the phone feels very smooth overall. Games like BGMI also run smoothly; I have played it without any issues.One small drawback is that it has a single speaker. However, it is not bad at all — the speaker is loud and the sound quality is good. Still, if it had stereo speakers, it would have been even better.I am giving this phone 4 stars only because of the single speaker.Overall phone is very good and Balanced around 25,000.Read more"
5.0 out of 5 stars,Nice phone for daily use.,"Using this phone since 15 days.. so far so good for daily use. Phone is handy, light weight, good front n back camera. Screen brightness and auto adjust is works well.Read more"
4.0 out of 5 stars,good product but beware of exchange offers,"Happy with the product.Pros:* samsung reliability/usability* decent cameras* good product. no major issuesCons: (not really major issues)* no sd card slot* no earphone portOverall happy with product.Exchange was a scam though. Had to pay extra 1700 rupees during exchange even though old phone had no issues or scratches. In fact, the exchange person also lied that the old phone had come with a charger and they needed it. I told them I cannot find it and paid the extra money. Later checked and saw the old phone never came with a charger. So the exchange process is scammy...Read more"
5.0 out of 5 stars,Nice phone,"Good product. I can purchase this phone. This phone is not for gaming but better for daily use. No lag issue if your budget around 16k, I will recommend you.Read more"
4.0 out of 5 stars,Good product at low price M17 5G,"I bought M17 5G, 8GB/128GB after a very careful study of the different Samsung phones during the Diwali time. It is certainly an excellent product for the money paid with the discounts. A few disappointing points were it doesn't support dual SIM and a memory card simultaneously which was highlighted eroneously in the product features. When queried in the live question, it was answered me as it supports 2 SIMs and Memory card simultaneously. But when the product was received after about 12 or 15 days, I was totally disappointed when put my 2 SIMs and memory card from M32 4G to M17 5G as it doesn't support the three items simultaneously. I didn't return it because it has some good features and gave it to one of my family members. Another sacrifice for M17 is its 5000mAh battery capacity which could have been at least 6000mah or more. It has slight heating as compared to other four Samsung models J7 Pro, M32 4G, M15 5G and M34 5G.  Anyway it is a good product for the price of 14.5k with offers.Read more"
5.0 out of 5 stars,Samsung Galaxy M17 5G Mobile - Good mobile in middle range.,"Received instrument in 5 hrs. Thanks for quick delivery.Good mobile features as camera, Good charging speed.Read more"
5.0 out of 5 stars,Best phone in budget,"Best display quality under 15000 and Features are top notch and weight is also less and heat level is also less and phone hangs is also not there, but not adapter and charger in the box.Read more"
3.0 out of 5 stars,Premium look & build quality but performance bit slow,"Pro :1. Overall phone is good in terms of build quality-premium look and UI,2. Camera quality is good with natural colours if compared with Chinese brands with high camera specifications.Cons:1. phone gets heated quickly with normal usage2. performance is slow/lagging.3. Battery drains quickly.Read more"
4.0 out of 5 stars,Little bit slow in performence.,Camera in the phone is best in this price segment. OIS is good. Daylight photography is perfect. Camera is struggling in low light.Read more
5.0 out of 5 stars,Good,SatisfiedRead more
4.0 out of 5 stars,Samsung Galaxy M17 5G: The Longevity King?,"1. The Samsung M17 is the perfect choice if you want a reliable daily driver with a great screen and long-lasting software support. However, if you are a heavy gamer or want lightning-fast charging, you might want to look at competitors.2. The phone sometimes feels slower than others and gets a bit warm, though the camera and display are excellent. I bought it for its excellent software with 6+6 os update and security features, so you can buy it too if you'd like.3. If Samsung had provided a charger along with it, it would have been a value for money product under 15k.The battery backup is also not great, it is just okay, it starts draining very quickly, it should have been at least 6000 mah.Read more"
5.0 out of 5 stars,In this price range this 4g phone is so good,Very  goodRead more
4.0 out of 5 stars,An average,"Firstly we need to understand our requirements before going for F07. Phone will not come with a charger head as you may need to purchase one. The phone is average and quietly priced high compared to other products in the market with same features. It's the brand name nothing different than other brands. Before you do pls rethink, research keeping your expectaion in mindRead more"
5.0 out of 5 stars,Good,"Value for money, low budget but good product.Camera also good, design and colour attractiveRead more"
2.0 out of 5 stars,Not a 5g handset,This handset is not 5g so plz don't buy as 5g handset totally 4g lte handsetRead more
1.0 out of 5 stars,Fraud,FraudRead more
5.0 out of 5 stars,"Simple & Clean:  ""Best Budget Smartphone with Solid Performance""","Realme P4x ke saath mera overall experience truly impressive raha hai, aur yeh smartphone apni price range me ek premium feel deliver karta hai. Sabse pehle baat karun iske design ki, to phone ka look kaafi stylish aur modern hai. Iska slim profile aur solid build quality ise haath me pakadne par ek high-end device jaisa feel deta hai, jo aaj ke users ke liye kaafi important factor hai.Display quality bhi is phone ki ek strong highlight hai. Screen bright, vibrant aur smooth hai, jiski wajah se videos dekhna, social media use karna aur gaming ka experience kaafi enjoyable ho jata hai. Colors natural aur eye-friendly lagte hain, jo long usage me bhi comfort maintain karte hain.Performance ki baat karein to Realme P4x daily tasks me bilkul smooth chalta hai. Multitasking ho ya heavy apps use karna, phone easily handle kar leta hai bina kisi noticeable lag ke. Gaming lovers ke liye bhi yeh ek achha option hai, kyunki graphics aur response time kaafi balanced hai.Battery backup iska ek aur strong point hai. Ek baar full charge karne par yeh phone easily poora din nikal deta hai, jo busy lifestyle ke liye perfect hai. Saath hi fast charging support hone ki wajah se phone jaldi charge ho jata hai, jo kaafi convenient hai.Camera performance bhi kaafi satisfying hai. Daylight me photos sharp aur detailed aati hain, aur colors kaafi natural dikhte hain. Night mode bhi decent kaam karta hai, jo low-light conditions me bhi usable photos capture kar leta hai.Overall, Realme P4x ek complete package hai jo design, performance, battery aur camera sabhi aspects me balanced aur premium experience deta hai. Agar aap ek stylish, reliable aur value-for-money smartphone dhoond rahe hain, to yeh device definitely consider karne layak hai.Read more"
4.0 out of 5 stars,Budget option,Phone quality is very good in this price range. This is my 3rd Realme product. I love this brand. Very user friendly UI. Display is decent. Size and weight wise it's average. The applications run smoothly but RAM is not that powerful and smooth as I expected. I only have shopping applications and still it lags sometimes. Camera quality is quite good with lot of AI features. Can't say about durability though since it came with a cheap screen cover. It is unlikely that it would survive fall or water. So durability wise can't really say. My experience is good overall.Read more
5.0 out of 5 stars,Important front Camera was not good  but back camera was good,best phone under this budget but front camera was not good overall your budget is 15k so definitely you buy this phone this time battery is awesome this photo takes back side cameraRead more
5.0 out of 5 stars,Best choice for regular users,"Realme p4x is a very nice choice for regular users. Good battery life, processor and clear camera make it more user friendly.Read more"
5.0 out of 5 stars,Value for money and good for gaming,"Perfect for gaming but not for camera persons,it's back cam is good but front is awful,it doesn't lag and feels very smooth,you can play Free fire at 120 fps and bgmi at 90 it shows 90 but you will get 70-80 some times 90 in tdm else it is good , but buy when get this 6gb variant under 16k like i took this at 15k it's value for money at actually 14k but now all prices have been increased so if you are thinking to buy wait for any offer if not take as early as possibleRead more"
4.0 out of 5 stars,Good phone you can buy,In this price phone is very good but device is very heavy &  thick not slimRead more
1.0 out of 5 stars,Worst Phone,"Battery drain issue. They claim 7000+ mah but it barely lasts 1 day if used. I just bought it 5 days back. Not recommended at all. Also, buy some different phone on flipkart because Amazon return policy is too bad.Read more"
5.0 out of 5 stars,Good phone,Good  phone and camera quality is good.Read more
5.0 out of 5 stars,Redmi A5 is an excellent mobile phone.,This mobile is as per my expectations. It is excellent. Highly recommended for anyone looking for a 3GB RAM and 64 GB storage smartphone. Worth to purchase.Read more
5.0 out of 5 stars,Awesome Product.,Awesome Product.Read more
